iteration,residual_norm
0,2.3760254545966313
1,1.008945958527492
2,0.36015322983215725
3,0.11595646117220235
4,0.034038665534564076
5,0.009169918123366436
6,0.9922239363310358
7,0.02187745294330412
8,0.002287404092032085
9,0.42516419556662277
10,0.0005565066764573591
11,0.0014763313392868631
12,0.03172892415692927
13,0.024883001781542256
14,0.00011181873503247336
15,0.001491301337637393
16,0.0026577844734388045
17,0.0006767069399468892
18,0.0031837319901945244
19,0.005649287843643689
20,0.0028606181632963726
21,0.01947822246355128
22,0.0003548668929979908
23,2.1421992621044022e-05
24,0.3814851622066008
25,0.2545363078960921
26,0.0032040839578815388
27,0.19540996706243186
28,0.13991817341679572
29,0.12103352051964611
30,0.06620033250281422
31,0.006498351196692212
32,6.42991375269115e-06
33,5.828956545529773e-06
34,1.8481760384048825e-05
35,4.660995184698394e-05
36,6.085025102085263e-05
37,1.1108924456070422e-05
38,2.360842811839184e-05
39,0.0016143318977757672
40,2.9925116740434186e-05
41,0.0018115162048674561
42,8.003374983379031e-05
43,0.00026397167810923353
44,0.0002227885014440894
45,0.00048260692265868096
46,0.21496610321213905
47,0.0011942847954183105
48,0.002798013278053225
49,0.46700924388461024
50,0.34708539852114595
51,0.01056432984549181
52,0.005397881291079715
53,5.052462897175166e-05
54,0.0001480114158867201
55,3.3097451364806566e-05
56,2.318716288814728e-05
57,0.0011594298245524632
58,0.0005458070038844509
59,2.526949535980727e-05
60,0.0020123601702821316
61,0.0084431912343341
62,0.05761866290006425
63,0.017252347505789415
64,1.9067805443880976e-06
65,0.0004222657947520675
66,0.00012528583091951526
67,4.745344634764743e-05
68,5.800869871929328e-06
69,7.260677215124038e-06
70,5.714821447027666e-05
71,6.69638714000343e-07
