iteration,residual_norm
0,4.4
1,3.8034795791721674
2,3.3359204148375947
3,3.3425825097940995
4,3.35180542502223
5,3.3345030093542487
6,3.3406825935876436
7,3.352007637533459
8,3.355940029824277
9,3.207706192695858
10,2.9891259658035345
11,2.954044415537035
12,2.923077352302224
13,2.920013033177088
14,2.9075903360136173
15,2.9137573471542204
16,2.9081510344509924
17,2.9129651293386005
18,2.9084062298436284
19,2.910895280196034
20,2.9049124781142783
21,2.895091058998253
22,2.8907929553455447
23,2.863872433808853
24,2.840354620631494
25,2.7918481017436676
26,2.7545481752156413
27,2.7406873081965384
28,2.702782182073541
29,2.6471314444101766
30,2.5484686395621465
31,2.4777515483169656
32,2.444236062731527
33,2.406210458831932
34,2.4247722745413056
35,2.3781065211015253
36,2.336408531703434
37,2.2944246299109086
38,2.191150312182268
39,2.199536478763684
40,2.182003957078759
41,2.0958534897906604
42,2.0961882481930374
43,2.054196312992477
44,2.0572300618106056
45,2.0357762159392805
46,2.016772003263605
47,2.017290782995229
48,2.0060591884424297
49,2.004857941773528
50,1.9988186491366615
51,1.9933358899389415
52,1.9939184249449347
53,1.9938212490421292
54,1.9937848777519682
55,1.993649027448763
56,1.9936641353511477
57,1.9936605067928892
58,1.9936608743427127
59,1.9936608950739474
60,1.993660891931429
