iteration,residual_norm
0,3.3166247903554
1,2.887318632696909
2,2.761347567405496
3,2.409960493505886
4,1.6038914393566341
5,0.34605479954392504
6,0.3107103321429191
7,0.18771882791675676
8,0.1268819682065531
9,0.1094249417070069
10,0.08999730549484332
11,0.07917336243782033
12,0.06789120842549107
13,0.06020228248358541
14,0.05317501389880203
15,0.047633063647798325
16,0.04309899230511368
17,0.039060992619914685
18,0.03609563911512268
19,0.034435507617069615
20,0.024565256728325918
21,0.018024314395995073
22,0.013564480146558672
23,0.0093472867433378
24,0.006978486095885575
25,0.005508057913146741
26,0.004682081740050438
