iteration,residual_norm
0,1.7409647264705157
1,0.6424182675783832
2,0.19396136930963204
3,0.05060821290824312
4,0.01149553321016921
5,0.017050215845787933
6,0.002293870417479095
7,0.7225018439666417
8,0.00039049420021034474
9,0.00415641805940068
10,0.06393725976260178
11,0.005126125278298652
12,0.024183218381830646
13,5.6645463199204284e-05
14,0.09416925946651436
15,0.021219275013052798
16,0.09890467355700257
17,0.28260007581255053
18,7.720623882004522e-06
19,6.331468708319284e-05
20,0.00011985441283119004
21,0.0013233743980002456
22,5.132420797312953e-05
23,1.597141139184992e-05
24,0.0005746073742860199
25,0.03185807582916081
26,0.014169553681595984
27,0.013138071772956082
28,0.009917781844985945
29,4.55593766601652e-05
30,0.0005530076213334443
31,0.0003857840460231875
32,0.003875903335761993
33,2.3852395440917134e-05
34,0.0002692206135204276
35,8.705951607518153e-05
36,6.470078612136047e-07
